CSA,CSB,CAS,CSI,MFL,MDS,SDM,RAY,EPS,COM,EED,ANG,STA
4.8,11.64,12.5,10.8,11.88,10.35,12.54,10.07,18.5,16.0,9,17.7,
4.52,11.46,14.3,14.0,13.46,12.15,8.12,11.29,13.0,16.5,11,13.3,15.5
6.9,14.71,10.2,11.0,13.27,7.35,9.38,9.34,14.5,17.0,12,17.7,15.5
6.66,9.86,11.4,14.3,12.42,12.12,13.42,7.79,16.5,16.5,11,10.1,15.25
7.42,11.25,13.1,10.0,13.46,10.5,12.35,7.29,14.0,16.5,12,14.5,14.75
5.2,11.61,12.2,17.6,9.96,10.85,9.92,9.51,14.0,16.5,9,14.26,14.65
3.48,11.14,11.8,14.0,12.08,11.35,11.58,10.57,14.5,16.0,14,12.8,15.25
5.86,11.93,13.1,10.8,12.42,7.62,13.23,12.51,15.0,16.0,8,14.4,16.0
7.22,8.71,13.6,12.5,12.35,7.65,11.15,11.12,16.0,14.5,12,16.3,13.5
1.6,12.86,11.4,10.8,14.15,10.12,14.04,10.29,13.0,16.0,15,14.7,
4.8,15.43,9.7,14.3,12.73,9.81,12.5,11.57,14.0,17.0,7,12.8,17.5
2.82,7.61,11.4,19.4,12.92,6.62,11.08,11.62,16.0,16.0,9,14.3,
3.6,14.43,9.7,10.8,11.92,10.31,10.15,9.62,13.0,19.0,8,16.2,
1.68,11.86,11.9,12.2,12.27,9.96,13.5,13.29,15.5,17.0,9,12.6,14.85
3.9,12.93,9.6,10.8,16.77,10.58,11.65,9.96,12.5,18.0,12,9.6,15.93
2.7,13.07,11.9,10.0,11.69,11.81,7.73,11.96,14.0,16.0,12,16.4,15.5
5.82,11.5,10.8,10.8,11.58,8.31,12.04,7.58,18.5,15.0,9,14.8,15.75
12.8,12.21,13.9,10.0,11.04,8.69,12.27,13.9,15.0,16.5,10,16.0,0.0
2.4,9.71,14.7,10.0,12.65,10.88,10.5,11.51,16.0,15.0,11,14.6,14.5
3.3,11.64,11.4,12.2,11.81,6.31,11.65,9.79,14.5,17.5,10,15.0,
2.4,11.11,10.9,14.9,10.27,5.65,9.62,9.4,14.0,17.5,12,16.3,16.25
2.56,9.93,13.4,10.8,9.54,9.42,9.31,12.07,13.0,16.5,12,16.5,15.5
2.74,10.32,12.0,14.6,11.62,8.35,9.6,10.23,14.0,14.5,11,14.33,13.93
3.18,8.79,12.7,10.0,12.77,9.23,10.19,9.18,16.0,17.0,10,15.25,15.08
3.8,10.71,12.7,10.0,10.27,7.73,13.58,11.18,13.0,17.5,9,14.5,15.29
2.98,10.86,14.4,10.8,10.65,8.65,9.81,9.23,15.5,14.0,5,17.3,15.5
4.34,10.0,14.0,13.1,8.38,9.27,10.27,11.23,14.0,15.5,7,14.2,14.14
3.94,12.0,13.3,14.3,11.12,6.0,10.27,9.9,16.5,13.5,11,10.0,14.5
5.34,9.64,12.3,10.0,13.73,11.42,8.58,9.84,13.5,18.0,6,10.0,15.93
4.52,9.0,13.3,10.8,9.77,8.69,11.31,10.68,13.0,17.0,11,11.6,15.5
2.58,10.36,13.1,10.8,9.92,9.85,12.62,9.29,16.0,17.0,11,8.5,13.75
1.5,9.14,12.2,12.5,12.5,7.88,8.54,11.12,15.0,13.0,7,10.0,16.75
4.36,8.68,11.6,10.8,11.62,8.54,6.85,10.68,14.0,16.0,9,9.5,14.5
2.02,12.57,9.9,10.8,9.81,6.27,8.54,6.07,12.5,14.5,9,15.0,15.75
4.2,9.04,14.4,10.0,11.88,9.08,9.12,9.34,15.0,16.0,9,8.9,10.0
0.3,9.86,10.6,10.8,7.88,7.0,9.15,6.46,14.0,16.5,10,17.4,
